Gene,Pathogenic,Likely pathogenic,VUS,Likely benign,Benign,GTR_tests,Disease,B_cell,HAP1,Known_complex,ComplexName,GFP_tagged,GFP_score,meltPoint,Stable,Secreted
C19orf12,4,7,94,24,33,98,Neurodegeneration with brain iron accumulation,non-essential,non-essential,No,NA,No,NA,53.29300007,yes,No
C19ORF12,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,55.27026632,yes,No
C19ORF2,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,52.25242234,yes,No
C19ORF21,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,49.92901012,yes,No
C19ORF25,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,52.07717665,yes,No
C19ORF28,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,61.5099407,yes,No
C19ORF38,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,65.61494448,yes,No
C19ORF39,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,50.78525907,yes,No
C19ORF42,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,60.35103505,yes,No
C19ORF43,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,59.02425012,yes,No
C19ORF46,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,64.3185948,yes,No
C19ORF50,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,54.48861421,yes,No
C19ORF52,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,55.83036119,yes,No
C19ORF53,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,54.77996824,yes,No
C19ORF57,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,54.66680818,yes,No
C19ORF59,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,61.95436994,yes,No
C19ORF6,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,59.2199341,yes,No
C19ORF62,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,57.09401585,yes,No
C19ORF63,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,55.14783046,yes,No
C19ORF66,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,60.38646294,yes,No
C19ORF70,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,53.70008406,yes,No
C1GALT1,0,0,0,1,1,2,NA,non-essential,non-essential,No,NA,No,NA,53.23225507,yes,No
C1ORF102,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.86404085,yes,No
C1ORF109,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.46437148,yes,No
C1ORF114,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.57706345,yes,No
C1ORF116,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,57.07020608,yes,No
C1orf122,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,55.19922067,yes,No
C1ORF123,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,53.19379047,yes,No
C1ORF128,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,63.796148,yes,No
C1ORF131,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,60.84468993,yes,No
C1ORF144,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,64.69144191,yes,No
C1ORF149,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,57.17615458,yes,No
C1ORF151,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,60.24260299,yes,No
C1ORF156,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,50.79742749,yes,No
C1ORF159,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,60.47816595,yes,No
C1ORF163,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,54.52854957,yes,No
C1ORF186,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,58.73731915,yes,No
C1ORF198,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,54.36270881,yes,No
C1ORF212,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,59.52209155,yes,No
C1ORF226,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,52.1839367,yes,No
C1ORF31,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,60.3478059,yes,No
C1ORF35,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,50.67002561,yes,No
C1ORF50,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,59.33107811,yes,No
C1ORF52,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,58.15678452,yes,No
C1ORF53,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,53.54381867,yes,No
C1ORF55,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,52.76501161,yes,No
C1ORF57,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,53.72531704,yes,No
C1ORF66,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,49.09576183,yes,No
C1ORF69,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,52.90669203,yes,No
C1ORF71,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,56.26208714,yes,No
C1ORF77,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.54137102,yes,No
C1ORF85,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,58.18950534,yes,No
C1ORF9,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.15570278,yes,No
C1ORF93,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,56.56343772,yes,No
C20ORF108,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,63.71785625,yes,No
C20ORF11,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,50.59305778,yes,No
C20ORF112,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.25755154,yes,No
C20ORF142,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.78332252,yes,No
C20ORF20,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.07963069,yes,No
C20ORF24,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,61.01340814,yes,No
C20ORF27,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,55.12433164,yes,No
C20ORF29,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,50.2756234,yes,No
C20ORF3,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,62.11295944,yes,No
C20ORF30,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,66.59186061,yes,No
C20ORF7,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,55.81152568,yes,No
C20ORF72,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,52.15239014,yes,No
C20ORF95,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,52.73812837,yes,No
C21ORF33,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,65.16845907,yes,No
C21ORF45,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.87839364,yes,No
C21ORF57,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,49.09133503,yes,No
C22ORF25,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,53.83272425,yes,No
C22ORF28,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,53.81854314,yes,No
C22ORF9,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,53.97038785,yes,No
C2CD2,0,0,0,0,5,1,NA,non-essential,non-essential,No,NA,No,NA,52.85837088,yes,No
C2CD2L,0,0,0,0,2,1,NA,non-essential,non-essential,No,NA,No,NA,54.13079099,yes,No
C2CD5,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,52.90183439,yes,No
C2ORF18,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,66.85937484,yes,No
C2ORF28,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,61.72872648,yes,No
C2ORF3,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.38147312,yes,No
C2ORF30,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,53.9702458,yes,No
C2ORF43,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,53.02922863,yes,No
C2orf47,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,52.24527292,yes,No
C2ORF47,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,54.72570721,yes,No
C2orf49,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.28098848,yes,No
C2ORF54,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,55.81707273,yes,No
C2ORF55,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.0640456,yes,No
C2ORF60,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,54.49510256,yes,No
C2ORF69,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,52.21475452,yes,No
C2ORF7,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,54.82056486,yes,No
C2ORF72,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,53.51948856,yes,No
C2orf76,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,50.93067894,yes,No
C2ORF76,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.69411678,yes,No
C2ORF79,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,61.01576304,yes,No
C3ORF1,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,53.28340937,yes,No
C3ORF10,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,55.91843582,yes,No
C3ORF19,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,62.49333371,yes,No
C3ORF21,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,56.63889514,yes,No
C3ORF31,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,52.38015907,yes,No
C3ORF39,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,53.36943518,yes,No
C3ORF58,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.44643508,yes,No
C3ORF59,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,58.47466625,yes,No
C3ORF60,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,55.72545351,yes,No
C3ORF64,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,54.70119923,yes,No
C3ORF75,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,56.59708169,yes,No
C4ORF16,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,66.09205983,yes,No
C4ORF18,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,52.40061959,yes,No
C4ORF3,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,54.63945128,yes,No
C4ORF30,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,50.95058447,yes,No
C4orf32,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,53.24374929,yes,No
C4ORF32,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,55.80174828,yes,No
C4ORF33,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,52.46608268,yes,No
C4ORF43,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,52.81510219,yes,No
C4ORF49,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,63.98292635,yes,No
C5orf22,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,52.95001992,yes,No
C5ORF22,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,54.26910231,yes,No
C5orf24,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,54.15553184,yes,No
C5ORF24,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,64.00882373,yes,No
C5ORF28,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,63.96285816,yes,No
C5ORF32,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,60.65432042,yes,No
C5ORF33,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,57.31834354,yes,No
C5ORF35,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,48.89925195,yes,No
C5orf45,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,50.33612016,yes,No
C6ORF106,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,50.88232411,yes,No
C6ORF108,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,66.14852731,yes,No
C6ORF115,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,58.66347029,yes,No
C6ORF125,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,57.2167773,yes,No
C6ORF129,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.55927704,yes,No
C6ORF132,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,52.77805243,yes,No
C6ORF136,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,60.1842711,yes,No
C6ORF145,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,50.01909851,yes,No
C6ORF150,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,53.0112772,yes,No
C6ORF153,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,55.25655392,yes,No
C6ORF162,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,58.86456209,yes,No
C6ORF168,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,52.63501204,yes,No
C6ORF192,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,60.67731531,yes,No
C6ORF224,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,58.02678314,yes,No
C6ORF35,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,59.38741278,yes,No
C6ORF47,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,64.98728295,yes,No
C6ORF57,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,59.54220272,yes,No
C6ORF64,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,63.04563025,yes,No
C6ORF66,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,53.93517425,yes,No
C6ORF72,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,55.10593579,yes,No
C6ORF89,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,60.31296776,yes,No
C7ORF10,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,49.54559243,yes,No
C7ORF11,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,56.31786877,yes,No
C7ORF23,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,58.25349741,yes,No
C7ORF26,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.75290007,yes,No
C7ORF30,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,53.58009771,yes,No
C7ORF36,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,54.08517127,yes,No
C7ORF41,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,57.16982234,yes,No
C7ORF42,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,62.91682698,yes,No
C7ORF43,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,50.53327507,yes,No
C7ORF44,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,56.56697912,yes,No
C7ORF46,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.62808864,yes,No
C7ORF47,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,50.96741083,yes,No
C7orf55,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,56.80992254,yes,No
C7ORF59,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,56.37524606,yes,No
C8ORF33,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.34324866,yes,No
C8ORF38,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,50.26017176,yes,No
C8ORF42,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,53.80919884,yes,No
C8ORF47,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,66.0575305,yes,No
C8ORF55,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,59.53576328,yes,No
C8ORF59,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,53.44664553,yes,No
C8ORF76,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,59.0115089,yes,No
C8orf82,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,55.11882387,yes,No
C8ORF82,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,55.40054093,yes,No
C8ORF83,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,63.00465354,yes,No
C9ORF114,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.08512904,yes,No
C9ORF123,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,55.75235223,yes,No
C9ORF126,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,50.05233463,yes,No
C9orf142,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,69.87519752,yes,No
C9ORF142,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,63.39464278,yes,No
C9ORF16,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,57.37103182,yes,No
C9ORF167,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.83816186,yes,No
C9ORF169,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,58.65301775,yes,No
C9ORF23,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,55.50569559,yes,No
C9ORF25,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,64.55501561,yes,No
C9ORF40,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,57.70666491,yes,No
C9ORF41,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,52.60460188,yes,No
C9ORF46,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,62.24242631,yes,No
C9ORF5,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,61.62785228,yes,No
C9ORF7,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,62.85661899,yes,No
C9ORF72,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,55.42787945,yes,No
C9ORF75,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,52.37701995,yes,No
C9ORF78,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,62.69775135,yes,No
C9ORF82,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,56.21615966,yes,No
C9ORF85,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,56.20645868,yes,No
C9ORF86,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,54.98294117,yes,No
C9ORF9,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.18585366,yes,No
C9ORF91,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,57.32343754,yes,No
C9ORF95,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,54.34184195,yes,No
CA13,0,0,0,0,1,1,NA,non-essential,non-essential,No,NA,No,NA,52.71791552,yes,No
CABLES2,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.55649729,yes,No
CACHD1,0,0,2,0,0,2,NA,non-essential,non-essential,No,NA,No,NA,55.57837628,yes,No
CACNA2D2,4,6,145,105,10,22,CEREBELLAR ATROPHY WITH SEIZURES AND VARIABLE DEVELOPMENTAL DELAY,non-essential,non-essential,No,NA,No,NA,56.87157755,yes,No
CACNA2D4,0,1,156,30,50,52,Retinal cone dystrophy 4,non-essential,non-essential,No,NA,No,NA,62.29852556,yes,No
CACNB3,0,0,0,0,1,1,NA,non-essential,non-essential,No,NA,No,NA,53.36740973,yes,No
CADM1,0,0,0,5,7,3,NA,non-essential,non-essential,No,NA,No,NA,66.25093594,yes,No
CADM4,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,56.35465803,yes,No
CALB2,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,55.86204544,yes,No
CALCOCO2,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.52788889,yes,No
CAMK1,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.72234782,yes,No
CAMK2G,0,1,3,0,0,2,INTELLECTUAL DEVELOPMENTAL DISORDER 59,non-essential,non-essential,No,NA,No,NA,48.75838365,yes,No
CAMSAP1L1,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,50.82732251,yes,No
CAPNS2,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,55.34844498,yes,No
CAPRIN1,0,0,1,0,0,2,NA,non-essential,non-essential,No,NA,No,NA,55.60744861,yes,No
CAPS,0,0,0,0,2,1,NA,non-essential,non-essential,No,NA,No,NA,52.6908402,yes,No
CARD16,0,0,0,0,1,1,NA,non-essential,non-essential,No,NA,No,NA,50.91279323,yes,No
CARD8,0,0,1,3,3,2,NA,non-essential,non-essential,No,NA,No,NA,53.96918419,yes,No
CARKD,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,62.85338931,yes,No
CASD1,1,2,4,0,1,1,NA,non-essential,non-essential,No,NA,No,NA,54.06134032,yes,No
CASP14,0,0,0,3,4,13,"Ichthyosis, congenital, autosomal recessive 12",non-essential,non-essential,No,NA,No,NA,54.43802993,yes,No
CAST,1,0,0,3,11,9,"Peeling skin with leukonychia, acral punctate keratoses, cheilitis, and knuckle pads",non-essential,non-essential,No,NA,No,NA,63.55222436,yes,No
CBARA1,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.91049877,yes,No
CCBL2,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,64.13046621,yes,No
CCDC102A,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,50.8431471,yes,No
CCDC109A,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,52.85727171,yes,No
CCDC109B,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,52.56117794,yes,No
CCDC117,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,53.26787601,yes,No
CCDC12,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,62.47701642,yes,No
CCDC127,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,53.22412454,yes,No
CCDC137,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,55.91203718,yes,No
CCDC167,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,50.97449688,yes,No
CCDC25,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,50.12273553,yes,No
CCDC43,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,58.37766789,yes,No
CCDC50,0,0,18,16,20,37,Nonsyndromic hearing loss and deafness,non-essential,non-essential,No,NA,No,NA,64.39161349,yes,No
CCDC51,0,0,0,0,3,2,NA,non-essential,non-essential,No,NA,No,NA,54.74077963,yes,No
CCDC53,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,54.44814097,yes,No
CCDC56,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,61.88221217,yes,No
CCDC58,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,63.84622588,yes,No
CCDC6,0,0,0,0,2,3,NA,non-essential,non-essential,No,NA,No,NA,55.81870575,yes,No
CCDC75,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,53.29228215,yes,No
CCDC76,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.8443498,yes,No
CCDC82,0,0,0,0,1,2,NA,non-essential,non-essential,No,NA,No,NA,51.60037634,yes,No
CCDC85B,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,51.95985473,yes,No
CCDC90A,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,No,NA,58.89445579,yes,No
