Unnamed: 0,GeneSymbol,#AlleleID,GeneID,HGNC_ID,PhenotypeIDS,PhenotypeList,Origin,OriginSimple,Assembly,ChromosomeAccession,Chromosome,Cytogenetic,TestedInGTR,SCVsForAggregateSomaticClinicalImpact,Entry,Protein names,Gene Names,Length,Ensembl,Subcellular location [CC],Synonyms,secreted,cytoplasmic,nuclear,class,Benign,Benign; association,Conflicting classifications of pathogenicity,Conflicting classifications of pathogenicity; association,Likely benign,Likely benign; association,Likely pathogenic,Likely pathogenic; Affects,Likely pathogenic; association,Pathogenic,Pathogenic/Likely pathogenic; association,Uncertain significance,Uncertain significance; Affects,Mislocalized,Mislocalization phenotype,is_Toxic_Gene,Disease,B_cell,T_cell,HAP1,Known_complex,ComplexName,GFP_tagged,GFP_score,meltPoint,Stable,Secreted,tagged_terminus,Main location,Additional location,location_feasible
639,CHRDL1,706072,91851,HGNC:29861,MedGen:C3661900,not provided,germline,germline,GRCh38,NC_000023.11,X,Xq23,N,-,Q9BU40,Chordin-like protein 1 (Neuralin-1) (Neurogenesin-1) (Ventroptin),CHRDL1 NRLN1,456.0,ENST00000372042.6 [Q9BU40-4];ENST00000394797.8 [Q9BU40-6];ENST00000444321.2 [Q9BU40-5];ENST00000482160.5 [Q9BU40-3];,SUBCELLULAR LOCATION: Secreted {ECO:0000305}.,NRLN1,yes,no,no,secreted,4,0,1,0,1,0,2,0,0,0,0,28,0,,,False,Megalocornea,non-essential,Non-essential,non-essential,No,,No,,,,Yes,,,,False
640,CHRM3,707246,1131,HGNC:1952,MedGen:C3661900,not provided,germline,germline,GRCh38,NC_000001.11,1,1q43,N,-,P20309,Muscarinic acetylcholine receptor M3,CHRM3,590.0,ENST00000255380.8;ENST00000615928.5;ENST00000675184.1;ENST00000676153.1;ENST00000676433.1;,SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21056967}; Multi-pass membrane protein {ECO:0000255}. Postsynaptic cell membrane; Multi-pass membrane protein {ECO:0000255}. Basolateral cell membrane {ECO:0000269|PubMed:15870063}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:21056967}; Multi-pass membrane protein {ECO:0000255}. Note=Colocalizes with TMEM147 in the endoplasmic reticulum (ER) membrane. TMEM147 impairs its trafficking to the cell membrane leading to its retention in the ER membrane. {ECO:0000269|PubMed:21056967}.,,no,yes,no,cytoplasmic,2,0,1,0,5,0,0,0,0,0,0,68,0,,,False,Prune belly syndrome,non-essential,Non-essential,non-essential,No,,No,,,,No,,Plasma membrane,,False
641,CHRNA1,33416,1134,HGNC:1955,"MONDO:MONDO:0011088,MedGen:C2931107,OMIM:601462|MONDO:MONDO:0009668,MedGen:C1854678,OMIM:253290,Orphanet:33108|MedGen:C3661900",Congenital myasthenic syndrome 1A|Lethal multiple pterygium syndrome|not provided,germline,germline,GRCh38,NC_000002.12,2,2q31.1,N,-,P02708,Acetylcholine receptor subunit alpha,CHRNA1 ACHRA CHNRA,457.0,ENST00000261007.9 [P02708-1];ENST00000348749.9 [P02708-2];,SUBCELLULAR LOCATION: Postsynaptic cell membrane {ECO:0000305|PubMed:27375219}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000269|PubMed:27375219}; Multi-pass membrane protein {ECO:0000255}.,ACHRA CHNRA,no,yes,no,cytoplasmic,1,0,19,0,3,0,6,0,0,1,0,205,0,0.0,,False,Lethal multiple pterygium syndrome,non-essential,Non-essential,non-essential,No,,Yes,1.93,,,No,,Plasma membrane,,False
642,CHRNA2,134185,1135,HGNC:1956,"MedGen:C3661900|MONDO:MONDO:0012474,MedGen:C1835905,OMIM:610353,Orphanet:98784|MONDO:MONDO:0020300,MedGen:C3696898,Orphanet:98784|MeSH:D030342,MedGen:C0950123",not provided|Autosomal dominant nocturnal frontal lobe epilepsy 4|Autosomal dominant nocturnal frontal lobe epilepsy|Inborn genetic diseases,germline,germline,GRCh38,NC_000008.11,8,8p21.2,N,-,Q15822,Neuronal acetylcholine receptor subunit alpha-2 (Nicotinic acetylcholine receptor subunit alpha-2),CHRNA2,529.0,ENST00000240132.7 [Q15822-2];ENST00000407991.3 [Q15822-1];,SUBCELLULAR LOCATION: Synaptic cell membrane {ECO:0000303|PubMed:18723036}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000303|PubMed:18723036}; Multi-pass membrane protein {ECO:0000255}.,,no,yes,no,cytoplasmic,2,0,53,0,48,0,0,0,0,0,0,290,0,,,False,"Epilepsy, nocturnal frontal lobe, type 4",non-essential,Non-essential,non-essential,No,,No,,,,No,,Plasma membrane,Cytokinetic bridge;Nucleoplasm,True
644,CHRNB1,33411,1140,HGNC:1961,"MONDO:MONDO:0014581,MedGen:C4225374,OMIM:616313,Orphanet:590|MedGen:C3661900|MONDO:MONDO:0014582,MedGen:C4225373,OMIM:616314,Orphanet:590",Congenital myasthenic syndrome 2A|not provided|Congenital myasthenic syndrome 2C,germline,germline,GRCh38,NC_000017.11,17,17p13.1,N,-,P11230,Acetylcholine receptor subunit beta,CHRNB1 ACHRB CHRNB,501.0,ENST00000306071.7 [P11230-1];ENST00000536404.6 [P11230-2];ENST00000639692.2 [P11230-1];ENST00000639993.1 [P11230-2];,SUBCELLULAR LOCATION: Postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.,ACHRB CHRNB,no,yes,no,cytoplasmic,2,0,16,0,1,0,2,0,0,3,0,210,0,0.0,,False,"Myasthenic syndrome, congenital, 2c, associated with acetylcholine receptor deficiency",non-essential,Non-essential,non-essential,No,,Yes,1.58,,,No,,,,False
645,CHRNB2,32534,1141,HGNC:1962,"MedGen:C3661900|MONDO:MONDO:0011545,MedGen:C1854335,OMIM:605375,Orphanet:98784",not provided|Autosomal dominant nocturnal frontal lobe epilepsy 3,germline,germline,GRCh38,NC_000001.11,1,1q21.3,N,-,P17787,Neuronal acetylcholine receptor subunit beta-2,CHRNB2,502.0,ENST00000368476.4;,SUBCELLULAR LOCATION: Synaptic cell membrane {ECO:0000250|UniProtKB:P12390}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.,,no,yes,no,cytoplasmic,0,0,20,0,15,0,4,0,0,2,0,277,0,,,False,"Epilepsy, nocturnal frontal lobe, type 3",non-essential,Non-essential,non-essential,No,,No,,,,No,,,,False
646,CHRND,33402,1144,HGNC:1965,"MONDO:MONDO:0014583,MedGen:C4225372,OMIM:616321,Orphanet:590|MONDO:MONDO:0009668,MedGen:C1854678,OMIM:253290,Orphanet:33108",Congenital myasthenic syndrome 3A|Lethal multiple pterygium syndrome,germline,germline,GRCh38,NC_000002.12,2,2q37.1,N,-,Q07001,Acetylcholine receptor subunit delta,CHRND ACHRD,517.0,ENST00000258385.8 [Q07001-1];ENST00000543200.5 [Q07001-2];,SUBCELLULAR LOCATION: Postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.,ACHRD,no,yes,no,cytoplasmic,2,0,23,0,2,0,7,0,0,1,0,240,0,0.0,,False,"Myasthenic syndrome, congenital, 3a, slow-channel",non-essential,Non-essential,non-essential,No,,No,,,,No,,Plasma membrane,,False
647,CHRNE,33382,1145,HGNC:1966,"MONDO:MONDO:0011600,MedGen:C4225413,OMIM:605809,Orphanet:590|MedGen:C3661900",Congenital myasthenic syndrome 4A|not provided,germline,germline,GRCh38,NC_000017.11,17,17p13.2,N,-,Q04844,Acetylcholine receptor subunit epsilon,CHRNE ACHRE,493.0,ENST00000649488.2;,SUBCELLULAR LOCATION: Postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.,ACHRE,no,yes,no,cytoplasmic,2,0,31,0,7,0,32,0,0,5,0,304,0,,,False,Congenital myasthenic syndrome 4C,non-essential,Non-essential,non-essential,No,,No,,,,No,,,,False
648,CHRNG,33376,1146,HGNC:1967,"MONDO:MONDO:0009668,MedGen:C1854678,OMIM:253290,Orphanet:33108|MONDO:MONDO:0009926,MedGen:C0265261,OMIM:265000,Orphanet:2990|MedGen:C3661900",Lethal multiple pterygium syndrome|Autosomal recessive multiple pterygium syndrome|not provided,germline;inherited;unknown,germline,GRCh38,NC_000002.12,2,2q37.1,N,-,P07510,Acetylcholine receptor subunit gamma,CHRNG ACHRG,517.0,ENST00000389492.3 [P07510-2];ENST00000651502.1 [P07510-1];,SUBCELLULAR LOCATION: Postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.,ACHRG,no,yes,no,cytoplasmic,0,0,16,0,3,0,5,0,0,2,0,78,0,0.0,,False,Lethal multiple pterygium syndrome,non-essential,Non-essential,non-essential,No,,No,,,,No,,,,False
649,CHST11,2204151,50515,HGNC:17422,MedGen:CN169374,not specified,germline,germline,GRCh38,NC_000012.12,12,12q23.3,N,-,Q9NPF2,Carbohydrate sulfotransferase 11 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 1) (Chondroitin 4-sulfotransferase 1) (C4S-1) (C4ST-1) (C4ST1),CHST11,352.0,ENST00000303694.6 [Q9NPF2-1];ENST00000549260.5 [Q9NPF2-2];,SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.,,no,yes,no,cytoplasmic,0,0,0,0,1,0,0,0,0,0,0,23,0,,,False,"OSTEOCHONDRODYSPLASIA, BRACHYDACTYLY, AND OVERLAPPING MALFORMED DIGITS",non-essential,Non-essential,non-essential,No,,Yes,2.43,52.32725592,yes,No,,Golgi apparatus,,False
650,CHST14,17376,113189,HGNC:24464,"MONDO:MONDO:0011142,MedGen:C1866294,Orphanet:2953|MONDO:MONDO:0020681,MedGen:CN295219,OMIM:601776","Ehlers-Danlos syndrome, musculocontractural type|Ehlers-Danlos syndrome, musculocontractural type 1",germline,germline,GRCh38,NC_000015.10,15,15q15.1,N,-,Q8NCH0,Carbohydrate sulfotransferase 14 (EC 2.8.2.35) (Dermatan 4-sulfotransferase 1) (D4ST-1) (hD4ST1),CHST14 D4ST1 UNQ1925/PRO4400,376.0,ENST00000306243.7;,SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.,D4ST1 UNQ1925/PRO4400,no,yes,no,cytoplasmic,0,0,3,0,10,0,3,0,0,1,0,174,0,,,False,"Ehlers-Danlos syndrome, musculocontractural type",non-essential,Non-essential,non-essential,No,,No,,51.1263908,yes,Yes,,Golgi apparatus,,False
651,CHST3,21087,9469,HGNC:1971,"MONDO:MONDO:0007738,MedGen:C1837657,OMIM:143095,Orphanet:263463",Spondyloepiphyseal dysplasia with congenital joint dislocations,germline,germline,GRCh38,NC_000010.11,10,10q22.1,N,-,Q7LGC8,Carbohydrate sulfotransferase 3 (EC 2.8.2.17) (EC 2.8.2.21) (Chondroitin 6-O-sulfotransferase 1) (C6ST-1) (Chondroitin 6-sulfotransferase) (C6ST) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 0) (GST-0),CHST3,479.0,ENST00000373115.5;,SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.,,no,yes,no,cytoplasmic,3,0,7,0,4,0,13,0,0,2,0,132,0,,,False,Spondyloepiphyseal dysplasia with congenital joint dislocations,non-essential,Non-essential,non-essential,No,,No,,55.08828249,yes,No,,Cytosol;Golgi apparatus,,True
652,CHST6,20110,4166,HGNC:6938,"MONDO:MONDO:0009020,MedGen:C1636149,OMIM:217800,Orphanet:98969",Macular corneal dystrophy,germline,germline,GRCh38,NC_000016.10,16,16q23.1,N,-,Q9GZX3,Carbohydrate sulfotransferase 6 (Corneal N-acetylglucosamine-6-O-sulfotransferase) (C-GlcNAc6ST) (hCGn6ST) (EC 2.8.2.21) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 4-beta) (GST4-beta) (N-acetylglucosamine 6-O-sulfotransferase 5) (GlcNAc6ST-5) (Gn6st-5),CHST6,395.0,ENST00000332272.9;ENST00000390664.3;ENST00000649341.1;ENST00000649824.1;,SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.,,no,yes,no,cytoplasmic,2,0,5,0,0,0,8,0,0,9,0,96,0,0.0,,False,Macular corneal dystrophy,non-essential,Non-essential,non-essential,No,,No,,,,No,,,,False
655,CIB1,996463,10519,HGNC:16920,MedGen:C3661900,not provided,germline,germline,GRCh38,NC_000015.10,15,15q26.1,N,-,Q99828,Calcium and integrin-binding protein 1 (CIB) (Calcium- and integrin-binding protein) (CIBP) (Calmyrin) (DNA-PKcs-interacting protein) (Kinase-interacting protein) (KIP) (SNK-interacting protein 2-28) (SIP2-28),CIB1 CIB KIP PRKDCIP,191.0,ENST00000328649.11 [Q99828-1];ENST00000612800.1 [Q99828-2];,"SUBCELLULAR LOCATION: Membrane; Lipid-anchor. Cell membrane, sarcolemma. Cell membrane. Apical cell membrane. Cell projection, ruffle membrane. Cell projection, filopodium tip. Cell projection, growth cone {ECO:0000269|PubMed:21215777}. Cell projection, lamellipodium {ECO:0000269|PubMed:21215777}. Cytoplasm. Cytoplasm, cytoskeleton. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Cytoplasm, perinuclear region. Nucleus {ECO:0000269|PubMed:30068544}. Cell projection, neuron projection {ECO:0000269|PubMed:21215777}. Perikaryon {ECO:0000269|PubMed:21215777}. Note=Colocalized with PPP3R1 at the cell membrane of cardiomyocytes in the hypertrophic heart (By similarity). Colocalized with NBR1 to the perinuclear region. Colocalizes with TAS1R2 in apical regions of taste receptor cells. Colocalized with RAC3 in the perinuclear area and at the cell periphery. Colocalized with PAK1 within membrane ruffles during cell spreading upon readhesion to fibronectin. Redistributed to the cytoskeleton upon platelet aggregation. Translocates from the cytosol to the plasma membrane in a calcium-dependent manner. Colocalized with PLK3 at centrosomes in ductal breast carcinoma cells. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm, perinuclear region {ECO:0000269|PubMed:23503467}. Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:23503467}.",CIB KIP PRKDCIP,no,yes,yes,cytoplasmic,2,0,0,0,2,0,0,0,0,0,0,56,0,,,False,"EPIDERMODYSPLASIA VERRUCIFORMIS, SUSCEPTIBILITY TO, 3",non-essential,Non-essential,non-essential,No,,No,,53.91314531,yes,Yes,,Nucleoplasm;Plasma membrane,Nuclear bodies,True
656,CIB2,48284,10518,HGNC:24579,"MONDO:MONDO:0012273,MedGen:C1836199,OMIM:609439,Orphanet:90636|MONDO:MONDO:0019588,MedGen:C1846647,OMIM:607197,OMIM:PS220290,Orphanet:90635,Orphanet:90636|MONDO:MONDO:0013935,MedGen:C3553944,OMIM:614869,Orphanet:231169,Orphanet:886;MONDO:MONDO:0012273,MedGen:C1836199,OMIM:609439,Orphanet:90636","Autosomal recessive nonsyndromic hearing loss 48|Hearing loss, autosomal recessive|Usher syndrome type 1J;Autosomal recessive nonsyndromic hearing loss 48",germline;inherited;unknown,germline,GRCh38,NC_000015.10,15,15q25.1,N,-,O75838,Calcium and integrin-binding family member 2 (Kinase-interacting protein 2) (KIP 2),CIB2 KIP2,187.0,ENST00000258930.8 [O75838-1];ENST00000539011.5 [O75838-3];ENST00000557846.5 [O75838-4];,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9Z309}. Cell projection, stereocilium {ECO:0000269|PubMed:26173970, ECO:0000269|PubMed:26426422}. Photoreceptor inner segment {ECO:0000250|UniProtKB:Q9Z309}. Cell projection, cilium, photoreceptor outer segment {ECO:0000250|UniProtKB:Q9Z309}. Cell membrane, sarcolemma {ECO:0000250|UniProtKB:Q9Z309}. Note=Colocalizes with ITGA7 at the myotendinous junctions (MTJ) and at the neuromuscular junctions (NMJ) (By similarity). Located mainly in stereocilia and at the apical surface of hair cells of the cochlea (By similarity). Localizes in the cuticular plate along and at the tip of the stereocilia of vestibular sensory hair cells (PubMed:26173970, PubMed:26426422). {ECO:0000250|UniProtKB:Q9Z309, ECO:0000269|PubMed:26173970, ECO:0000269|PubMed:26426422}.",KIP2,no,yes,no,cytoplasmic,0,0,3,0,2,0,2,0,0,0,0,71,0,,,False,"Deafness, autosomal recessive 48",non-essential,Non-essential,non-essential,No,,No,,,,No,,Nucleoplasm,Centrosome;Cytosol;Primary cilium transition zone,True
660,CISD2,1400370,493856,HGNC:24212,"MedGen:C3661900|MONDO:MONDO:0011502,MedGen:C1858028,OMIM:604928,Orphanet:3463",not provided|Wolfram syndrome 2,germline;unknown,germline,GRCh38,NC_000004.12,4,4q24,N,-,Q8N5K1,CDGSH iron-sulfur domain-containing protein 2 (Endoplasmic reticulum intermembrane small protein) (MitoNEET-related 1 protein) (Miner1) (Nutrient-deprivation autophagy factor-1) (NAF-1),CISD2 CDGSH2 ERIS ZCD2,135.0,ENST00000273986.10;,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Single-pass membrane protein. Mitochondrion outer membrane; Single-pass membrane protein. Note=According to PubMed:20010695, it mainly localizes to the endoplasmic reticulum. However, experiments in mouse showed that it mainly localizes to the mitochondrion outer membrane.",CDGSH2 ERIS ZCD2,no,yes,no,cytoplasmic,0,0,0,0,0,0,0,0,0,0,0,30,0,,,False,Wolfram syndrome 2,non-essential,Non-essential,non-essential,Yes,BCL2-CISD2 complex,No,,56.70786544,yes,No,,Endoplasmic reticulum,,True
662,CITED2,443889,10370,HGNC:1987,MedGen:CN517202,not provided,germline,germline,GRCh38,NC_000006.12,6,6q24.1,N,-,Q99967,Cbp/p300-interacting transactivator 2 (MSG-related protein 1) (MRG-1) (P35srj),CITED2 MRG1,270.0,ENST00000367651.4 [Q99967-1];ENST00000536159.2 [Q99967-1];,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12586840, ECO:0000269|PubMed:8901575, ECO:0000269|PubMed:9887100}. Note=Colocalizes with EP300 in dot-like structures.",MRG1,no,no,yes,nuclear,0,0,0,0,2,0,1,0,0,0,0,39,0,,,False,Ventricular septal defect 2,non-essential,Non-essential,non-essential,No,,No,,,,No,,Nucleoplasm,Cytosol;Vesicles,True
666,CLCF1,539037,23529,HGNC:17412,"MONDO:MONDO:0012467,MedGen:C1853198,OMIM:610313,Orphanet:157820",Cold-induced sweating syndrome 2,inherited,germline,GRCh38,NC_000011.10,11,11q13.2,N,-,Q9UBD9,Cardiotrophin-like cytokine factor 1 (B-cell-stimulating factor 3) (BSF-3) (Novel neurotrophin-1) (NNT-1),CLCF1 BSF3 CLC NNT1,225.0,ENST00000312438.8 [Q9UBD9-1];ENST00000533438.1 [Q9UBD9-2];,SUBCELLULAR LOCATION: Secreted {ECO:0000250}.,BSF3 CLC NNT1,yes,no,no,SGE,0,0,1,0,1,0,0,0,0,0,0,28,0,,,False,Cold-induced sweating syndrome 2,non-essential,Non-essential,Essential,No,,No,,,,Yes,,Nuclear bodies;Vesicles,,True
676,CLDN1,251064,9076,HGNC:2032,MedGen:CN169374|MedGen:C3661900,not specified|not provided,germline,germline,GRCh38,NC_000003.12,3,3q28,N,-,O95832,Claudin-1 (Senescence-associated epithelial membrane protein),CLDN1 CLD1 SEMP1 UNQ481/PRO944,211.0,ENST00000295522.4;,"SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000269|PubMed:20375010, ECO:0000269|PubMed:23407391}. Cell membrane {ECO:0000269|PubMed:23704991}; Multi-pass membrane protein {ECO:0000255}. Basolateral cell membrane {ECO:0000269|PubMed:20375010}. Note=Associates with CD81 and the CLDN1-CD81 complex localizes to the basolateral cell membrane. {ECO:0000269|PubMed:20375010}.",CLD1 SEMP1 UNQ481/PRO944,no,yes,no,cytoplasmic,0,0,1,0,1,0,0,0,0,0,0,32,0,,,False,Neonatal ichthyosis-sclerosing cholangitis syndrome,non-essential,Non-essential,non-essential,No,,Yes,3.14,,,No,,,,False
677,CLDN10,682738,9071,HGNC:2033,"Human Phenotype Ontology:HP:0002065,Human Phenotype Ontology:HP:0002477,Human Phenotype Ontology:HP:0007340,Human Phenotype Ontology:HP:0009047,MedGen:C1836296;Human Phenotype Ontology:HP:0002900,MedGen:C0020621;Human Phenotype Ontology:HP:0002917,Human Phenotype Ontology:HP:0003284,MONDO:MONDO:0018100,MedGen:C0151723,OMIM:PS602014|MeSH:D030342,MedGen:C0950123",Lower limb muscle weakness;Hypokalemia;Hypomagnesemia|Inborn genetic diseases,germline;unknown,germline,GRCh38,NC_000013.11,13,13q32.1,N,-,P78369,Claudin-10 (Oligodendrocyte-specific protein-like) (OSP-like),CLDN10,228.0,ENST00000299339.3 [P78369-1];ENST00000376873.7 [P78369-2];,"SUBCELLULAR LOCATION: [Isoform 1]: Cell junction, tight junction {ECO:0000269|PubMed:19383724, ECO:0000269|PubMed:35650657}. Cell membrane {ECO:0000269|PubMed:19383724, ECO:0000269|PubMed:28686597, ECO:0000269|PubMed:28771254, ECO:0000269|PubMed:35650657}; Multi-pass membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell junction, tight junction {ECO:0000269|PubMed:19383724}. Cell membrane {ECO:0000269|PubMed:19383724}; Multi-pass membrane protein {ECO:0000255}.",,no,yes,no,cytoplasmic,0,0,0,0,0,0,1,0,0,0,0,20,0,,,False,HELIX SYNDROME,non-essential,Non-essential,non-essential,No,,No,,,,No,,,,False
678,CLDN11,1108676,5010,HGNC:8514,"MONDO:MONDO:0025701,MedGen:C5543406,OMIM:619328","Leukodystrophy, hypomyelinating, 22",de novo;germline,germline,GRCh38,NC_000003.12,3,3q26.2,N,-,O75508,Claudin-11 (Oligodendrocyte-specific protein),CLDN11 OSP OTM,207.0,ENST00000064724.8;,"SUBCELLULAR LOCATION: Cell junction, tight junction. Cell membrane {ECO:0000269|PubMed:20375010}; Multi-pass membrane protein {ECO:0000255}.",OSP OTM,no,yes,no,cytoplasmic,0,0,0,0,0,0,0,0,0,1,0,9,0,,,False,,non-essential,Non-essential,non-essential,No,,Yes,2.45,,,No,,Cell Junctions;Lipid droplets,,False
679,CLDN14,19890,23562,HGNC:2035,"MONDO:MONDO:0013537,MedGen:C3279660,OMIM:614035,Orphanet:90636|Human Phenotype Ontology:HP:0000365,Human Phenotype Ontology:HP:0000404,Human Phenotype Ontology:HP:0001728,Human Phenotype Ontology:HP:0001729,Human Phenotype Ontology:HP:0001754,Human Phenotype Ontology:HP:0008560,Human Phenotype Ontology:HP:0008563,MONDO:MONDO:0005365,MedGen:C1384666|MONDO:MONDO:0019588,MedGen:C1846647,OMIM:607197,OMIM:PS220290,Orphanet:90635,Orphanet:90636","Autosomal recessive nonsyndromic hearing loss 29|Hearing impairment|Hearing loss, autosomal recessive",germline;inherited,germline,GRCh38,NC_000021.9,21,21q22.13,N,-,O95500,Claudin-14,CLDN14 UNQ777/PRO1571,239.0,ENST00000342108.2;ENST00000399135.6;ENST00000399136.5;ENST00000399137.5;ENST00000399139.5;,"SUBCELLULAR LOCATION: Cell junction, tight junction. Cell membrane; Multi-pass membrane protein.",UNQ777/PRO1571,no,yes,no,cytoplasmic,0,0,5,0,2,0,2,0,0,1,0,65,0,,,False,Nonsyndromic hearing loss and deafness,non-essential,Non-essential,non-essential,No,,No,,,,No,,Vesicles,,False
680,CLDN16,20965,10686,HGNC:2037,"MONDO:MONDO:0009550,MedGen:C0268448,OMIM:248250,Orphanet:31043|MedGen:C3661900",Primary hypomagnesemia|not provided,germline,germline,GRCh38,NC_000003.12,3,3q28,N,-,Q9Y5I7,Claudin-16 (Paracellin-1) (PCLN-1),CLDN16 PCLN1,235.0,ENST00000264734.3;,"SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000269|PubMed:10390358, ECO:0000269|PubMed:14628289, ECO:0000269|PubMed:16234325, ECO:0000269|PubMed:16528408, ECO:0000269|PubMed:18188451, ECO:0000269|PubMed:28028216}. Cell membrane {ECO:0000269|PubMed:10390358, ECO:0000269|PubMed:14628289, ECO:0000269|PubMed:16234325, ECO:0000269|PubMed:16528408, ECO:0000269|PubMed:18188451, ECO:0000269|PubMed:28028216}; Multi-pass membrane protein {ECO:0000255}. Note=Cotrafficks with CLDN19 from ER to tight junctions. {ECO:0000269|PubMed:18188451}.",PCLN1,no,yes,no,cytoplasmic,2,0,3,0,1,0,12,0,0,5,0,60,0,,,False,Primary hypomagnesemia,non-essential,Non-essential,non-essential,No,,No,,,,No,,,,False
681,CLDN19,16400,149461,HGNC:2040,"MONDO:MONDO:0009548,MedGen:C4721891,OMIM:248190,Orphanet:2196|MedGen:C3661900|",Renal hypomagnesemia 5 with ocular involvement|not provided|CLDN19-related disorder,germline;inherited,germline,GRCh38,NC_000001.11,1,1p34.2,N,-,Q8N6F1,Claudin-19,CLDN19,224.0,ENST00000296387.6 [Q8N6F1-1];ENST00000372539.3 [Q8N6F1-2];ENST00000539749.5 [Q8N6F1-3];,"SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000269|PubMed:18188451, ECO:0000269|PubMed:28028216}. Cell membrane {ECO:0000269|PubMed:18188451, ECO:0000269|PubMed:28028216}; Multi-pass membrane protein {ECO:0000255}. Note=Cotrafficks with CLDN16 from ER to tight junctions. Colocalizes with CLDN16 and CLDN3 in cell-cell contact areas of the TAL spatially separated from CLDN10b paracellular channels. {ECO:0000269|PubMed:18188451}.",,no,yes,no,cytoplasmic,1,0,4,0,1,0,8,0,0,1,0,54,0,1.0,Plasma membrane>ER,False,"Hypomagnesemia 5, renal, with ocular involvement",non-essential,Non-essential,non-essential,No,,No,,,,No,,Plasma membrane,,False
682,CLEC3B,2200813,7123,HGNC:11891,MedGen:CN169374,not specified,germline,germline,GRCh38,NC_000003.12,3,3p21.31,N,-,P05452,Tetranectin (TN) (C-type lectin domain family 3 member B) (Plasminogen kringle 4-binding protein),CLEC3B TNA,202.0,ENST00000296130.5;,SUBCELLULAR LOCATION: Secreted.,TNA,yes,no,no,secreted,0,0,0,0,0,0,0,0,0,0,0,13,0,,,False,,non-essential,Non-essential,non-essential,No,,Yes,1.86,,,Yes,,,,False
683,CLIC2,48422,1193,HGNC:2063,"MONDO:MONDO:0010473,MedGen:C3550913,OMIM:300886,Orphanet:324410|MedGen:CN169374",X-linked intellectual disability-cardiomegaly-congestive heart failure syndrome|not specified,germline,germline,GRCh38,NC_000023.11,X,Xq28,N,-,O15247,Chloride intracellular channel protein 2 (Glutaredoxin-like oxidoreductase CLIC2) (EC 1.8.-.-) (Glutaredoxin-like peroxidase CLIC2) (EC 1.11.1.-) (XAP121),CLIC2,247.0,ENST00000369449.7;,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15916532}. Membrane {ECO:0000305|PubMed:15916532}; Single-pass membrane protein {ECO:0000305|PubMed:15916532}. Note=Exists both as soluble cytoplasmic protein and as membrane protein with probably a single transmembrane domain.,,no,yes,no,cytoplasmic,0,0,2,0,3,0,0,0,0,0,0,17,0,,,False,X chromosome deletion/duplication,non-essential,Non-essential,non-essential,No,,No,,48.98977094,no,No,,Cytosol;Plasma membrane,Nucleoplasm,True
